Which Cluster,Commandment,Bible Verse,Numerical Commandment Reference,Numerical Bible Verse Reference
5,A man must free the widow of his childless brother from the obligation to marry him if he is unwilling to marry her,DEU 25:9,11,123
5,A childless widow must not remarry until the ties with her brother-in-law are removed,DEU 25:5,1,122
4,The court must fine one who sexually seduces a maiden ,EXO 22:16,545,189
4,One who seduces a maiden must marry the maiden if she chooses,DEU 22:29,479,82
5,A seducer that marries the maiden he seduces must not divorce her,DEU 22:29,35,82
5,A man who slanders his wife with accusations of adultery must remain married to his wife,DEU 22:19,17,79
5,A man who slanders his wife with accusations of adultery must not divorce her,DEU 22:19,16,79
3,Fulfill the laws of the woman suspected of adultery,NUM 5:30,416,450
1,Do not put oil on the meal offering of a woman suspected of adultery,NUM 5:15,322,447
1,Do not put frankincense on the meal offering of a woman suspected of adultery,NUM 5:15,320,447
1,Do not have sexual relations with your mother ,LEV 18:7,251,288
1,Do not have sexual relations with your father's wife ,LEV 18:8,249,289
1,Do not have sexual relations with your sister ,LEV 18:9,253,290
1,Do not have sexual relations with your father's wife's daughter ,LEV 18:11,250,274
1,Do not have sexual relations with your son's daughter ,LEV 18:10,254,273
1,Do not have sexual relations with your daughter ,LEV 18:6,245,287
1,Do not have sexual relations with your daughter's daughter ,LEV 18:10,246,273
1,Do not have sexual relations with a woman and her daughter ,LEV 18:17,239,280
1,Do not have sexual relations with a woman and her son's daughter ,LEV 18:17,241,280
1,Do not have sexual relations with a woman and her daughter's daughter ,LEV 18:17,240,280
1,Do not have sexual relations with your father's sister ,LEV 18:12,248,275
1,Do not have sexual relations with your mother's sister ,LEV 18:13,252,276
1,Do not have sexual relations with your father's brother's wife ,LEV 18:14,247,277
1,Do not have sexual relations with your son's wife ,LEV 18:15,255,278
1,Do not have sexual relations with your brother's wife ,LEV 18:16,244,279
1,Do not have sexual relations with your wife's sister ,LEV 18:18,256,281
2,A man must not have sexual relations with an animal ,LEV 18:23,13,286
2,A woman must not have sexual relations with an animal ,LEV 18:23,37,286
1,Do not have homosexual sexual relations ,LEV 18:22,235,285
1,Do not have homosexual sexual relations with your father ,LEV 18:7,236,288
1,Do not have homosexual sexual relations with your father's brother ,LEV 18:14,237,277
1,Do not have sexual relations with someone else's wife ,LEV 18:20,242,283
1,Do not have sexual relations with a menstrually impure woman ,LEV 18:19,238,282
0,Do not marry those who are not members of the Covenant,DEU 7:3,289,141
0,Do not let Moabite and Ammonite males marry into the Covenant people ,DEU 23:4,275,102
0,Do not prevent a third-generation Egyptian convert from marrying into the Covenant people ,DEU 23:7,315,103
0,Do not refrain from marrying a third generation Edomite convert ,DEU 23:7,333,103
0,Do not let a child born due to an illegal relationship marry into the Covenant people ,DEU 23:3,276,101
0,Do not let a eunuch marry into the Covenant people ,DEU 23:1,277,90
1,Do not offer to God any castrated male animals ,LEV 22:24,298,336
3,The high priest must not marry a widow ,LEV 21:14,576,322
3,The high priest must not have sexual relations with a widow even outside of marriage ,LEV 21:15,575,323
3,The high priest must marry a virgin maiden ,LEV 21:13,572,321
2,A priest must not marry a divorcee ,LEV 21:7,29,327
2,A priest must not marry a woman who has had a forbidden sexual relationship,LEV 21:7,30,327
2,A priest must not marry a desecrated woman,LEV 21:7,28,327
1,Do not make pleasurable (sexual) contact with any forbidden woman ,LEV 18:6,288,287
3,Examine the signs of animals to distinguish between those which are kosher and non-kosher,LEV 11:2,406,240
0,Examine the signs of fowl to distinguish between those which are kosher and non-kosher,DEU 14:11,408,21
3,Examine the signs of fish to distinguish between those which are kosher and non-kosher,LEV 11:9,407,250
3,Examine the signs of insects to distinguish between those which are kosher and non-kosher,LEV 11:21,409,241
1,Do not eat non-kosher animals ,LEV 11:4,194,245
1,Do not eat non-kosher fowl ,LEV 11:13,198,239
1,Do not eat non-kosher fish ,LEV 11:11,196,238
5,Do not eat non-kosher flying insects ,DEU 14:19,197,22
1,Do not eat non-kosher creatures that crawl on land ,LEV 11:41,195,246
1,Do not eat non-kosher vermin ,LEV 11:44,199,249
1,Do not eat worms found in fruit on the ground ,LEV 11:42,216,247
1,Do not eat creatures that live in water other than kosher fish ,LEV 11:43,182,248
5,Do not eat of an animal that dies of natural causes,DEU 14:21,200,23
5,Do not benefit from an ox condemned to be stoned ,EXO 21:28,126,183
5,Do not eat meat of an animal that was mortally wounded ,EXO 22:31,191,195
5,Do not eat meat torn off a living creature,DEU 12:23,192,9
2,Do not eat blood ,LEV 3:17,179,389
2,Do not eat certain fats of clean animals,LEV 3:17,181,389
1,Do not eat the sinew of the thigh ,GEN 32:32,214,233
5,Do not eat meat and milk cooked together ,EXO 23:19,190,206
2,Do not cook meat and milk together ,EXO 34:26,144,230
2,Do not eat bread from new grain before the Omer ,LEV 23:14,180,344
1,Do not eat parched grains from new grain before the Omer ,LEV 23:14,202,344
1,Do not eat ripened grains from new grain before the Omer ,LEV 23:14,203,344
1,Do not eat fruit of a tree during its first three years ,LEV 19:23,187,301
5,Do not eat diverse seeds planted in a vineyard ,DEU 22:9,183,89
1,Do not eat untithed fruits ,LEV 22:14,215,331
5,Do not drink wine poured in service to idols ,DEU 32:38,177,130
4,Ritually slaughter an animal before eating it ,DEU 12:21,515,8
1,Do not slaughter an animal and its offspring on the same day ,LEV 22:28,354,339
2,Cover the blood of a slaughtered beast or fowl with earth ,LEV 17:13,103,271
0,Do not take a mother bird with its children ,DEU 22:6,366,86
4,Release a mother bird before taking her children from the nest,DEU 22:7,497,87
1,Do not swear falsely in God's Name ,LEV 19:12,363,293
0,Do not take God's Name in vain ,EXO 20:7,365,175
2,Do not deny possession of something entrusted to you ,LEV 19:11,160,292
1,Do not falsely swear in denial of a claim to property,LEV 19:11,224,292
4,Swear in God's Name to confirm the truth when deemed necessary by court ,DEU 10:20,535,1
0,Fulfill what you uttered and do what you vowed,DEU 23:23,417,99
2,Do not break oaths or vows,NUM 30:2,131,439
3,"For oaths and vows annulled, there are the laws of annulling vows explicit in the Law ",NUM 30:3,415,440
3,The nazarite must let his hair grow ,NUM 6:5,589,455
3,The nazarite must not cut his hair ,NUM 6:5,592,455
3,"The nazarite must not drink wine, wine mixtures, or wine vinegar ",NUM 6:3,593,453
3,The nazarite must not eat fresh grapes ,NUM 6:3,594,453
3,The nazarite must not eat raisins ,NUM 6:3,597,453
3,The nazarite must not eat grape seeds ,NUM 6:4,595,454
3,The nazarite must not eat grape skins ,NUM 6:4,596,454
3,The nazarite must not be under the same roof as a corpse ,NUM 6:6,590,456
3,The nazarite must not come into contact with the dead ,NUM 6:7,591,457
3,The nazarite must shave his head after bringing sacrifices upon completion of his nazarite period,NUM 6:9,598,458
3,Estimate the value of people as determined by the Law,LEV 27:2,403,381
3,Estimate the value of consecrated animals,LEV 27:12,400,378
3,Estimate the value of consecrated houses ,LEV 27:14,402,379
3,Estimate the value of consecrated fields ,LEV 27:16,401,380
2,Carry out the laws of interdicting possessions,LEV 27:28,89,383
1,Do not sell interdicted possessions ,LEV 27:28,347,383
1,Do not redeem interdicted possessions,LEV 27:28,328,383
1,Do not plant diverse seeds together ,LEV 19:19,309,300
0,Do not plant grains or greens in a vineyard ,DEU 22:9,310,89
2,Do not crossbreed animals ,LEV 19:19,146,300
0,Do not work different animals together ,DEU 22:10,383,76
0,Do not wear cloth woven of wool and linen,DEU 22:11,376,77
3,Leave a corner of the field uncut for the poor ,LEV 19:10,443,291
1,Do not reap the corner of a field left for the poor ,LEV 19:9,326,314
3,Leave gleanings of a field for the poor,LEV 19:9,445,314
1,Do not gather gleanings of a crop but leave them for the poor,LEV 19:9,228,314
3,Leave the gleanings of a vineyard for the poor,LEV 19:10,447,291
1,Do not gather the gleanings of a vineyard but leave them for the poor,LEV 19:10,230,291
3,Leave the unformed clusters of grapes for the poor,LEV 19:10,448,291
1,Do not pick the unformed clusters of grapes but leave them for the poor,LEV 19:10,306,291
4,Leave the forgotten sheaves in the field for the poor,DEU 24:19,446,111
0,Do not retrieve sheaves forgotten in the field but leave them for the poor,DEU 24:19,339,111
4,Separate the tithe for the poor,DEU 14:28,521,25
0,Give charity to those in need,DEU 15:8,419,33
0,Do not withhold charity from the poor,DEU 15:7,377,32
4,Set aside a gift of food for the priest,DEU 18:4,524,55
3,The Levite must set aside a tenth of his tithe for the priest,NUM 18:26,538,422
0,"Do not preface one tithe to the next, but separate them in their proper order ",EXO 22:29,312,194
2,A non- priest must not eat food set aside as a gift for the priest,LEV 22:10,20,329
2,A hired worker or an Israelite bondsman of a priest must not eat food set aside as a gift for the priest,LEV 22:10,3,329
5,An uncircumcised priest must not eat food set aside for a priest,EXO 12:48,50,152
2,An impure priest must not eat food set aside for a priest ,LEV 22:4,46,342
2,A desecrated woman must not eat food set aside for a priest ,LEV 22:12,2,330
3,Set aside a tithe each planting year and give it to a Levite,NUM 18:24,526,421
4,Set aside the second tithe,DEU 14:22,529,24
0,"Do not spend the money from selling the second tithe on anything but food, drink, or ointment in Jerusalem",DEU 26:14,357,125
5,Do not eat the second tithe while impure,DEU 26:14,213,125
5,A mourner on the first day after a death must not eat the second tithe,DEU 26:14,18,125
5,Do not eat second tithe grains outside Jerusalem ,DEU 12:17,205,5
5,Do not eat second tithe wine products outside Jerusalem ,DEU 12:17,207,5
5,Do not eat second tithe oil outside Jerusalem ,DEU 12:17,206,5
3,The fourth year crops must be totally for holy purposes like the second tithe,LEV 19:24,570,302
4,Read the confession of tithes every fourth and seventh year ,DEU 26:13,488,124
4,Set aside the first fruits and bring them to the Temple ,EXO 23:19,527,206
4,The priests must not eat the first fruits outside Jerusalem ,DEU 12:17,602,5
4,Read the portion of Scripture pertaining to the presentation of first fruits ,DEU 26:5,489,126
3,Set aside a portion of dough for a priest ,NUM 15:20,525,414
0,"Give the shoulder, two cheeks, and stomach of a slaughtered animals to a priest ",DEU 18:3,422,54
0,Give the first shearing of sheep to a priest ,DEU 18:4,421,55
3,Redeem firstborn sons and give the money to a priest ,NUM 18:15,492,417
4,Redeem the firstborn donkey by giving a lamb to a priest ,EXO 13:13,493,157
5,Break the neck of the donkey if the owner does not intend to redeem it ,EXO 13:13,62,157
4,The land shall rest unworked during the seventh year,EXO 34:21,583,229
3,Do not work the land during the seventh year,LEV 25:4,385,368
3,Do not work with trees to produce fruit during the seventh year ,LEV 25:4,387,368
1,Do not reap crops that grow wild during the seventh year in the normal manner ,LEV 25:5,324,372
1,Do not gather grapes which grow wild during the seventh year in the normal way ,LEV 25:5,229,372
4,Leave free all produce which grew in the seventh year ,EXO 23:11,444,201
4,Release all loans during the seventh year ,DEU 15:2,498,30
0,Do not pressure or claim from the borrower during the seventh year ,DEU 15:2,314,30
0,Do not refrain from lending immediately before the release of the loans for fear of monetary loss ,DEU 15:9,332,34
3,The Sanhedrin must count seven groups of seven years ,LEV 25:8,542,374
3,The Sanhedrin must sanctify the fiftieth year ,LEV 25:10,543,358
2,Blow the ram's horn on the tenth day of the seventh month to free the slaves ,LEV 25:9,59,375
3,Do not work the soil during the fiftieth year,LEV 25:11,386,359
1,Do not reap in the normal manner that which grows wild in the fiftieth year ,LEV 25:11,325,359
1,Do not pick grapes which grew wild in the normal manner in the fiftieth year ,LEV 25:11,305,359
2,Carry out the laws of sold family properties in the fiftieth year ,LEV 25:24,92,363
1,Do not sell the land in Israel indefinitely ,LEV 25:23,349,362
2,Carry out the laws of houses in walled cities ,LEV 25:29,87,364
4,The Tribe of Levi must not be given a portion of the land in Israel,DEU 18:1,544,48
4,The Levites must not take a share in the spoils of war ,DEU 18:1,539,48
3,Give the Levites cities to inhabit and their surrounding fields ,NUM 35:2,420,442
1,Do not sell the fields of the Levites but they shall belong to Levites before and after the Jubilee year ,LEV 25:34,348,365
2,Build a Sanctuary (Tabernacle-Temple) ,EXO 25:8,78,216
5,Do not build the altar with stones hewn by metal ,EXO 20:25,132,170
5,Do not climb steps to the altar ,EXO 20:26,139,171
3,Show reverence to the Temple ,LEV 19:30,531,307
3,Guard the Temple area ,NUM 18:2,424,419
1,Do not leave the Temple unguarded ,NUM 18:5,270,425
4,Prepare the anointing oil ,EXO 30:31,483,224
1,Do not reproduce the anointing oil ,EXO 30:32,336,225
2,Do not anoint a foreigner with anointing oil ,EXO 30:32,116,225
1,Do not reproduce the incense formula ,EXO 30:37,337,226
2,Do not burn anything on the Golden Altar besides incense ,EXO 30:9,134,228
3,The Levites must transport the ark on their shoulders ,NUM 7:9,540,461
0,Do not remove the staves from the ark ,EXO 25:15,335,214
3,The Levites must work in the Temple ,NUM 18:23,541,420
3,No Levite must do the work of either another priest or another Levite,NUM 18:3,462,423
2,Dedicate the priest for service ,LEV 21:8,105,328
4,The work of the priests' shifts must be equal during holidays ,DEU 18:6,607,56
4,The priests must wear their priestly garments during service ,EXO 28:2,605,218
0,Do not tear the priestly garments ,EXO 28:32,371,220
1,Do not loosen the breastplate from the ephod,EXO 28:28,281,219
2,A priest must not enter the Temple intoxicated ,LEV 10:9,23,237
2,A priest must not enter the Temple with his head uncovered ,LEV 10:6,24,235
2,A priest must not enter the Temple with torn clothes ,LEV 10:6,25,235
2,A priest must not enter the sanctuary of the Temple indiscriminately ,LEV 16:2,26,268
2,A priest must not leave the Temple during service ,LEV 10:7,27,236
3,Send the impure person from the Temple ,NUM 5:2,520,448
2,An impure person must not enter the Temple ,NUM 5:3,44,449
5,An impure person must not enter the Temple Mount area ,DEU 23:11,45,91
3,Impure priests must not do service in the Temple ,LEV 22:2,433,332
2,"An impure priest, following immersion, shall not serve until after sundown",LEV 21:6,47,326
2,A priest must wash his hands and feet before service ,EXO 30:19,31,223
2,A priest with a physical blemish must not enter the sanctuary or approach the altar ,LEV 21:23,32,325
2,A priest with a physical blemish must not serve ,LEV 21:17,33,324
2,A priest with a temporary blemish must not serve ,LEV 21:17,34,324
3,One who is not a priest must not serve ,NUM 18:4,477,424
3,Offer only unblemished animals ,LEV 22:21,473,334
2,Do not dedicate a blemished animal for the altar ,LEV 22:20,153,333
1,Do not slaughter a blemished animal ,LEV 22:22,353,335
1,Do not sprinkle a blemished animal's blood ,LEV 22:24,358,336
2,Do not burn a blemished animal's fat ,LEV 22:22,133,335
0,Do not offer a temporarily blemished animal ,DEU 17:1,294,42
1,Do not sacrifice blemished animals even if offered by those who are not part of the Covenant,LEV 22:25,341,337
1,Do not inflict wounds upon dedicated animals ,LEV 22:21,259,334
5, To redeem dedicated animals which have become disqualified,DEU 12:15,0,4
3,Offer only animals which are at least eight days old ,LEV 22:27,472,338
0,Do not offer animals bought with the wages of a harlot or the wages of a dog,DEU 23:18,295,95
2,Do not burn honey or yeast on the altar ,LEV 2:11,135,387
3,Salt all sacrifices ,LEV 2:13,516,388
1,Do not omit the salt from sacrifices ,LEV 2:13,299,388
2,Carry out the procedure of the burnt offering as prescribed in the Law ,LEV 1:3,97,315
5,Do not eat the meat of an offering away from the Temple ,DEU 12:17,209,5
2,Carry out the procedure of the sin offering ,LEV 6:25,99,403
1,Do not eat the meat of the inner sin offering ,LEV 6:23,212,402
2,Do not decapitate a fowl brought as a sin offering ,LEV 5:8,152,397
2,Carry out the procedure of the guilt offering ,LEV 7:1,98,407
4,The priests must eat the sacrificial meat in the Temple ,EXO 29:33,601,221
4,The priests must not eat the meat outside the Temple courtyard ,DEU 12:17,603,5
2,A non- priest must not eat certain sacrificial meat ,EXO 29:33,19,221
3,Follow the procedure of the peace offering ,LEV 7:11,413,408
5,Do not eat the meat of minor sacrifices before sprinkling the blood ,DEU 12:15,210,4
2,Bring meal offerings as prescribed in the Torah ,LEV 2:1,75,386
1,Do not put oil on the meal offerings of wrongdoers ,LEV 5:11,323,393
1,Do not put frankincense on the meal offerings of wrongdoers ,LEV 5:11,321,393
1,Do not eat the meal offering of a priest ,LEV 6:16,208,399
2,Do not bake a meal offering as leavened bread ,LEV 6:17,121,400
3,The priests must eat the remains of the meal offerings ,LEV 6:16,600,399
5,Bring all avowed and freewill offerings to the Temple on the first subsequent festival ,DEU 12:5,70,13
0,Do not withhold payment incurred by any vow ,DEU 23:22,379,98
4,Offer all sacrifices in the Temple ,DEU 12:11,471,2
5,Bring all sacrifices from outside Israel to the Temple ,DEU 12:26,71,10
1,Do not slaughter sacrifices outside the Temple  ,LEV 17:3,355,272
0,Do not offer any sacrifices outside the courtyard ,DEU 12:13,296,3
3,Offer two lambs for sacrifice every day ,NUM 28:3,476,433
3,Keep the fire burning on the altar ,LEV 6:9,438,406
1,Do not extinguish the fire on the altar ,LEV 6:9,222,406
3,Remove the ashes from the altar every day ,LEV 6:10,500,398
2,Burn incense every day ,EXO 30:7,81,227
4,Light the Menorah every day ,EXO 27:21,451,217
3,The high priest must bring a meal offering every day ,LEV 6:20,571,401
2,Bring two additional lambs as burnt offerings on the Sabbath ,NUM 28:9,76,434
4,Make the show bread and place it before God ,EXO 25:30,456,215
2,Bring additional offerings on the first day of the month,NUM 28:11,69,430
2,Bring additional offerings on Passover ,NUM 28:19,63,431
3,Offer the wave offering from the meal of the new wheat ,LEV 23:10,475,343
3,Each man must count seven weeks from the day the new wheat offering was brought after Passover,LEV 23:15,395,345
2,Bring additional offerings on the Feast of Weeks ,NUM 28:26,67,432
2,Bring two loaves to accompany the additional the Feast of Weeks offerings ,LEV 23:17,77,346
2,Bring additional offerings on the Feast of Trumpets,NUM 29:1,66,435
2,Bring additional offerings on the Day of Atonement,NUM 29:8,64,438
2,Bring additional offerings on the Feast of Tabernacles ,NUM 29:12,65,436
2,Bring additional offerings on the eighth day of the Feast of Tabernacles,NUM 29:35,68,437
5,Do not eat sacrifices which have become unfit or blemished ,DEU 14:3,204,26
2,Do not eat from sacrifices offered with improper intentions ,LEV 7:18,184,410
1,Do not leave sacrifices past the time allowed for eating them ,LEV 22:30,269,340
1,Do not eat from that which was left over from an offering ,LEV 19:8,186,313
2,Do not eat from sacrifices which became impure ,LEV 7:19,185,411
2,An impure person must not eat from sacrifices ,LEV 7:20,43,412
2,Burn the leftover sacrifices ,LEV 7:17,82,409
2,Burn all impure sacrifices ,LEV 7:19,80,411
3,Follow the procedures of the Day of Atonement in the sequence prescribed,LEV 16:3,414,270
3,One who profaned a sacred object must repay what he profaned plus a fifth and bring a sacrifice ,LEV 5:16,478,394
0,Do not work consecrated animals ,DEU 15:19,382,29
0,Do not shear the fleece of consecrated animals ,DEU 15:19,351,29
4,Slaughter the paschal sacrifice at the specified time ,EXO 12:6,532,153
0,Do not slaughter the paschal sacrifice while in possession of leaven ,EXO 23:18,356,205
1,Do not leave the fat of the paschal sacrifice overnight ,EXO 23:18,271,205
3,Slaughter the second Passover lamb ,NUM 7:11,533,459
0,Eat the Passover lamb with unleavened bread and bitter herbs on the night of the 14th of Nisan ,EXO 12:8,396,154
3,Eat the second Passover lamb on the night of the 15th day of the month after Passover,NUM 9:11,397,462
5,Do not eat the meat of the Passover lamb raw or boiled ,EXO 12:9,211,155
0,Do not take the meat of the Passover lamb from the confines of the group ,EXO 12:46,368,151
5,An apostate must not eat from the Passover lamb ,EXO 12:43,42,149
5,A permanent or temporary hired worker must not eat from the Passover lamb ,EXO 12:45,21,150
5,An uncircumcised male must not eat from the Passover lamb ,EXO 12:48,49,152
5,Do not break any bones from the Passover lamb,EXO 12:46,129,151
2,Do not break any bones from the second Passover lamb offering ,NUM 7:12,130,460
0,Do not leave any meat of the Passover lamb over until morning ,EXO 12:10,267,143
1,Do not leave the meat of the second Passover lamb over until morning ,NUM 9:12,273,463
0,Do not leave the meat of the Passover lamb of the 14th until the 16th ,DEU 16:4,272,41
0,"Go to the Temple on Passover, the Feast of Weeks, and the Feast of Tabernacles ",DEU 16:16,423,36
5,"Celebrate on Passover, the Feast of Weeks, and the Feast of Tabernacles and bring a peace offering",EXO 23:14,100,204
4,"Rejoice on Passover, the Feast of Weeks, and the Feast of Tabernacles and bring a peace offering",DEU 16:14,494,35
5,"Do not appear at the Temple during Passover, the Feast of Weeks, and the Feast of Tabernacles without offerings",DEU 16:16,117,36
0,"Do not refrain from rejoicing with, and giving gifts to, the Levites on the Pilgrimage Festivals",DEU 12:19,334,6
